artist,song,link,text
Kanye West,Pro Nails,/k/kanye+west/pro+nails_21034368.html,"Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Shake it up, up rock ya body  
Make it knock, knock when you partyin'  
Take a break, break in the audience  
Do ya footwork break and stop again?  
  
I'm lookin' sharp  
You can't compete with the champ  
Steady flickin'  
I'm holdin' done that layaway rack  
  
Aye, rhinestones all in they face  
Gold charms and paper chase  
Talk smack from around the way  
Gotta put these chickenheads in they place  
  
I ain't rockin' no stupid, babes  
I ain't trippin', I juke all day  
I ain't slippin' 'cause either way  
When I hit the block all the people say  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Aye yo this mothafucka jammin', I'm on it, it's a anthem  
Who is that in the Phantom? Please no cameras  
They gone have me on concrete loot in my pajamas  
To hide the goods, I would need pants big as Hammer's  
  
I be tippin' them dancers, they be sayin' I'm handsome  
I was pretty before the dough but now I'm just the man  
You remind me of my old chick on that '84 shit  
Oh shit, did you see the way she got her toes did?  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Girls be so thirsty, thirsty  
Fast forward to the end of my song  
And say third verse me, verse me  
Whenever I hit the block I see  
  
Tricks try to rehearse me, hearse me  
From manicure sets to silky weaves  
They be so grimy, nasty, bogus  
Turkey, germy, dirty  
  
Uh oh, Shol' did, you ain't slick, no  
Let the pioneer blast my shit  
Wait a minute, hold up, nigga  
Bubble letters on my butt say fresh  
  
Oops, I'ma go, nails like whoa  
Acrylic base, top all gold  
Clothes on my back to the paint on my toes  
Stay fresh 'cause I'm accustomed to gold  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'  
  
Got her toes done up with her fingernails matchin'  
Got her toes done up with her fingernails matchin'  
Got, got her toes done up with her fingernails matchin'  
Toes, toes done up with her fingernails matchin'

"
Nat King Cole,I Must Be Dreaming,/n/nat+king+cole/i+must+be+dreaming_20824749.html,"I must be dreaming  
I must be dreaming  
I must be dreaming  
I must be because  
  
You say you love me  
You say you want me  
You say you need me  
And I can't believe that  
  
Someone as wonderful as you  
Could change my luck  
And make my dreams come true  
  
I must be dreaming  
But if I'm dreaming  
I'll go on dreaming  
The rest of my life  
Dreaming of you  
  
I must be dreaming  
But if I'm dreaming  
I'll go on dreaming  
The rest of my life  
Dreaming of you

"
Hank Williams Jr.,All I Can Give You Is My Heart,/h/hank+williams+jr/all+i+can+give+you+is+my+heart_20236849.html,"Let's take the final step and get married cause a true love is all I'm looking
for  
  
Well I hope someday that I'll make you a million  
  
Cause right now all that I can give you is my heart  
  
But I've got two arms that were made just to hold you tight  
  
And a real love to keep you satisfied  
  
And I've got two lips that are just for kissing yours goodnight  
  
And these two eyes that will never see you cry  
  
I'd like to give you diamond rings from the start  
  
But right now all that I can give you is my heart  
  
Your love can't be bought for any price I know  
  
Though I'd give anything to call you mine  
  
But thank God you want me for just what I am  
  
Cause right now all that I can give you is my heart  
  
Right now all that I can give you is my heart

"
Talking Heads,People Like Us,/t/talking+heads/people+like+us_20135111.html,"In 1950 when I was born  
Papa couldn't afford to buy us much  
He said be proud of what you are  
There's something special 'bout people like us  
  
People like us  
(Who will answer the telephone)  
People like us  
(Growing as big as a house)  
People like us  
(Gonna make it because)  
  
We don't want freedom  
We don't want justice  
We just want someone to love.  
Someone to love.u  
I was called upon in the third grade class  
I gave my answer and it caused a fuss  
I'm not the same as ev'ryone else  
And times were hard for people like us  
  
People like us  
(Who will answer the telephone)  
People like us  
(Growing as big as a house)  
People like us  
(Gonna make it because)  
  
What good is freedom?  
God laughs at people like us  
I see it coming  
Like coming down from above  
  
The clouds roll by and the moon comes up  
How long must we live in the heat of the sun  
Millions of people are waitin' on love  
And this is a song about people like us  
  
People like us  
(Who answer the telephone)  
People like us  
(Growing big as a house)  
People like us  
(Gonna make it because)  
We don't want freedom  
We don't want justice  
We just want someone to love.  
  
Someone to love.  
Someone to love.  
Someone to love.

"
George Strait,I'll Always Be Loving You,/g/george+strait/ill+always+be+loving+you_20059507.html,"You can turn me loose, tear me up and run me down  
Cause me shame, drag my name all over town  
Makes no difference what you say or what you do  
As for me I'll always be lovin' you  
  
[Chorus]  
My love for you was not built on shifting sands  
I made a promise long ago and it still stands  
Go on and do what your heart tells you to  
As for me I'll always be lovin' you  
  
You can change your dreams, change your heart  
Or change your mind  
And just pretend that it all ends with your goodbye  
You can walk out and forget the love we knew  
As for me I'll always be lovin' you

"
ZZ Top,Cheap Sunglasses,/z/zz+top/cheap+sunglasses_20149175.html,"When you get up in the morning and the light is hurt your head  
The first thing you do when you get up out of bed  
Is hit that streets a-runnin' and try to beat the masses  
And go get yourself some cheap sunglasses  
Oh yeah, oh yeah, oh yeah  
  
Spied a little thing and I followed her all night  
In a funky fine levis and her sweater's kind of tight  
She had a west coast strut that was as sweet as molases  
But what really knocked me out was her cheap sunglasses  
Oh yeah, oh yeah, oh yeah  
  
(solo)  
  
Now go out and get yourself some big black frames  
With the glass so dark thay won't even know your name  
And the choice is up to you cause they come in two classes:  
Rhinestone shades or cheap sunglasses  
Oh yeah, oh yeah, oh yeah

"
Garth Brooks,Papa Loved Mama,/g/garth+brooks/papa+loved+mama_20058176.html,"Papa drove a truck nearly all his life  
You know it drove mama crazy being a trucker's wife  
The part she couldn't handle was the being alone  
I guess she needed more to hold than just a telephone  
Papa called Mama each and every night  
Just to ask her how she was and if us kids were alright  
Mama would wait for that call to come in  
When Daddy'd hang up then she was gone again  
Mama was a looker  
Lord, how she shined  
Papa was a good'n  
But the jealous kind  
Papa loved Mama  
Mama loved men  
Mama's in the graveyard  
Papa's in the pen  
Well, it was bound to happen and one night it did  
Papa came home and it was just us kids  
He had a dozen roses and a bottle of wine  
If he was lookin' to surprise us, he was doin' fine  
I heard him cry for mama up and down the hall  
Then I heard a bottle break against the bedroom wall  
That old diesel engine made an eerie sound  
When Papa fired it up and headed into town  
Well, the picture in the paper showed the scene real well  
Papa's rig was buried in the local motel  
The desk clerk said he saw it all real clear  
He never hit the brakes and he was shifting gears  
Mama was a looker  
Lord, how she shined  
Papa was a good'n  
But the jealous kind  
Papa loved Mama  
Mama loved men  
Mama's in the graveyard  
Papa's in the pen

"
W.A.S.P.,Sweet Cheetah,/w/wasp/sweet+cheetah_20348249.html,"One night as I rolled down some long winding road  
I saw you and I knew I couldn't let you go  
Half child and all woman, vision fantasy  
Lost against the moonlight bathed in ecstasy  
Leopard's skin and cat's eyes  
Has the jungle made you wild  
The prey you're after, is you faster  
Will it make you smile  
Ride with me, I'll set you free  
Chains can't hold us down  
I need you, if you want me  
Lovers we are bound  
  
[REFRAIN:]  
Sweet cheetah, cheetah  
I love it when your claws run through me  
Fever, fever, I love it, babe  
Come do it to me  
Cheetah, cheetah  
I love it when your claws run through me  
Fever, fever, I love it, babe  
Come do it to me now  
  
Skin tight you move in so slowly to thrill  
Waiting for the nightmare then you're in for the kill  
Amazon so sleekly you know what to do  
Eat the flesh, and save my heart  
And leave it when you're through  
Pain and pleasures all mine  
Untamed and running wild  
Sink your teeth into me  
Lick your lips and smile  
Take my hand and ride the land  
Forever you and me  
Hold on tight to me all night  
And set your spirit free  
  
[REFRAIN:]

"
Faith Hill,Better Days,/f/faith+hill/better+days_20052520.html,"Hard times are fallin' on you  
Even when you smile I see the hurt come through  
And I know it feels like it's never gonna end  
You say nothin's been right for a long time  
And every step you take is an uphill climb  
I see you're reachin' out  
So let me tell you friend that  
  
Better days are comin' around  
I know you feel like  
The whole world's gone and let you down but  
Better days they're comin' for you  
I know they will  
'Cause I'll be right here makin' sure they do  
  
And if your sky ain't lookin' the fairest  
There ain't no reason to be embarrassed  
Ain't nobody in the world ain't felt  
The rain from time to time  
And just when you think it's all over and done  
The night get easier one by one  
So take my hand and hold on tight  
And soon you're gonna find that  
  
Better days are comin' around  
I know you feel like  
The whole world's gone and let you down but  
Better days they're comin' for you  
I know they will  
'Cause I'll be right here makin' sure they do  
  
I know what it's like  
To have to face the fight  
But I won't let you stand alone, no  
  
Better days are comin' for you  
I know it feels like  
The whole world's gone and let you down but  
Better days they're comin' for you  
I know they will  
'Cause I'll be right here makin' sure they do  
  
Oh, better days  
I know, I know, I know  
The whole world's gone and let you down  
Better days are comin' for you  
I know they will

"
Indiana Bible College,Forevermore,/i/indiana+bible+college/forevermore_21084070.html,"Verse  
Forevermore, Lord I will worship You  
I will lift my hands in praise, for all the wondrous things You do  
You alone are worthy Lord of all the praise that I can give to You  
Lord I will worship You, forevermore  
  
Bridge  
You are so worthy, You are so worthy  
Your name I will praise  
For Your goodness and mercy endureth always  
You're worthy, You are so worthy  
Lord I will worship You  
Lord I will worship You  
Lord I will worship You, forevermore  
  
Vamp 1  
Forever, Forever, I'll worship You forever (4x)  
  
Vamp 2  
You're holy, You're righteous, I'll worship You forever (2x)  
  
Vamp 3  
My refuge, my shelter, I'll worship You forever (2x)  
  
Ending  
Jesus, Jesus, I'll worship You forever (3x)  
Forevermore

"
